syllabus_id,program_year_id,subject_id,title,raw_text,source_id,source_locator
SYLL-a0301e61-b36c-54dd-9e5e-5a2edb652a7f,PY-b8d32ee2-1f35-5e7c-9e2d-8f37ad59d33b,SUBJ-7c29394f-52b0-5931-b0b3-625d7861212e,《微观经济学》考试大纲,"《微观经济学》 绪 论 资源的稀缺性;西方经济学的研究对象;经济社会的三个基本问题; 自由放任的市场经济制度;中央集权的计划经济制度;混合经济制度;微 观经济学与宏观经济学之间的关系。 第一章 需求、供给和均衡价格 需求;需求曲线;需求函数;需求规律;需求量变动与需求变动;供 给;供给曲线;供给函数;供给规律;供给量变动与供给变动市场均衡; 均衡价格;均衡数量;供求规律。 需求价格弹性;需求的收入弹性;需求的交叉弹性;供给的价格弹性; 根据需求价格弹性系数的大小对商品进行分类;需求的收入弹性系数与低 档品以及正常品中的奢侈品和非奢侈品之间的关系;交叉弹性系数与两种 商品的替代和互补关系;影响供给价格弹性的因素;支持价格;限制价格。 第二章 消费者选择 总效用;边际效用;消费者均衡;总效用与边际效用之间的关系;边 际效用递减规律;消费者均衡条件;利用基数效用论推导消费者对商品的 需求曲线,并说明需求规律。 商品的边际替代率;商品的边际替代率递减规律;无差异曲线的特征 及其图形表示。 预算约束线的图形表示;预算约束线变动的原因与结果;消费者均衡 的含义和条件;运用无差异曲线分析方法说明消费者均衡;消费者需求曲 线向右下方倾斜的原因。 第三章 企业的生产和成本 厂商的目标;厂商的利润、收益和成本之间的关系;短期、长期、固 7 定比例的生产函数;总产量;平均产量;边际产量;边际收益递减规律; 边际产量曲线与总产量曲线之间的关系;边际产量曲线与平均产量曲线之 间的关系。等产量曲线的特征及其经济含义;厂商利润最大化与生产要素 最优组合之间的关系。 机会成本;会计成本;显性成本;隐性成本;会计利润;经济利润; 短期总成本;不变成本;可变成本;平均成本;平均不变成本;平均可变 成本;边际成本;短期总成本、不变成本和可变成本之间的关系;平均成 本与平均不变成本和平均可变成本之间的关系;边际成本曲线与总成本曲 线和可变成本曲线之间的关系;边际成本曲线与平均成本曲线和平均可变 成本曲线之间的关系;长期总成本;长期平均成本;长期边际成本;规模 经济;规模经济状况与长期平均成本曲线的形状之间的关系;总收益;平 均收益;边际收益;厂商利润最大化原则。 第四章 完全竞争市场 完全竞争市场结构基本特征;厂商均衡;完全竞争厂商的短期均衡条 件;停止营业点;完全竞争厂商的长期均衡条件;经济效率;完全竞争厂 商的平均收益曲线和边际收益曲线;完全竞争厂商关闭点的确定;完全竞 争厂商的短期供给曲线;完全竞争市场的短期供给曲线;完全竞争厂商的 长期均衡的调整过程。 第五章 不完全竞争市场 垄断市场的基本特征;行业中出现垄断的原因;垄断厂商的平均收益 和边际收益曲线及其相互关系;垄断厂商的短期和长期均衡;垄断市场与 完全竞争市场经济效率的比较分析。 垄断竞争市场的基本特征;产品差异;垄断竞争厂商的短期均衡条件; 垄断竞争厂商的长期均衡条件;垄断竞争厂商面临的需求曲线及平均收益 曲线和边际收益曲线;垄断竞争厂商的短期均衡。 垄断竞争厂商的长期调整及其长期均衡;垄断竞争市场与完全竞争市 场经济效率的比较分析。 寡头市场的基本特征;古诺模型。 第六章 生产要素市场和收入分配 引致需求;厂商使用生产要素的利润最大化原则;要素的边际产品价 值;完全竞争市场条件下厂商使用生产要素的利润最大化条件;完全竞争 8 条件下的要素需求曲线;完全竞争厂商对要素需求曲线向右下方倾斜的原 因。 劳动的供给曲线;均衡工资率;劳动供给曲线向后弯曲的原因;劳动 的市场需求曲线和市场供给曲线;利用无差异曲线分析推导劳动的供给曲 线;利用劳动的市场需求曲线和市场供给曲线说明均衡工资率的决定。 第七章 一般均衡论和效率 局部均衡分析;一般均衡分析;一般均衡价格;瓦尔拉斯定律;帕累 托最优状态;帕累托改进。 第八章 市场失灵与微观经济政策 垄断所造成的社会成本;政府管制价格的确定;自然垄断行业的价格 和数量管制;对垄断采取的经济政策。 公共物品;非排他性;非竞争性;“搭便车”问题。 外部性;私人成本;社会成本;科斯定理。",SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":""10-12"",""row_key"":""互联网金融|微观经济学"",""section"":""微观经济学""}"
SYLL-9fc6c8e3-02c7-5ef5-8f13-b159ca1093ac,PY-8d4db694-460f-585a-afa0-c07735ec3f07,SUBJ-7c29394f-52b0-5931-b0b3-625d7861212e,《微观经济学》考试大纲,"《微观经济学》 绪论 资源的稀缺性;西方经济学的研究对象;经济社会的三个基本问题; 自由放任的市场经济制度;中央集权的计划经济制度;混合经济制度;微 观经济学与宏观经济学之间的关系。 第一章 需求、供给和均衡价格 需求;需求曲线;需求函数;需求规律;需求量变动与需求变动;供 给;供给曲线;供给函数;供给规律;供给量变动与供给变动市场均衡; 均衡价格;均衡数量;供求规律。 需求价格弹性;需求的收入弹性;需求的交叉弹性;供给的价格弹性; 根据需求价格弹性系数的大小对商品进行分类;需求的收入弹性系数与低 档品以及正常品中的奢侈品和非奢侈品之间的关系;交叉弹性系数与两种 商品的替代和互补关系;影响供给价格弹性的因素;支持价格;限制价格。 第二章 消费者选择 总效用;边际效用;消费者均衡;总效用与边际效用之间的关系;边 际效用递减规律;消费者均衡条件;利用基数效用论推导消费者对商品的 需求曲线,并说明需求规律。 商品的边际替代率;商品的边际替代率递减规律;无差异曲线的特征 及其图形表示。 预算约束线的图形表示;预算约束线变动的原因与结果;消费者均衡 的含义和条件;运用无差异曲线分析方法说明消费者均衡;消费者需求曲 线向右下方倾斜的原因。 第三章 企业的生产和成本 厂商的目标;厂商的利润、收益和成本之间的关系;短期、长期、固 定比例的生产函数;总产量;平均产量;边际产量;边际收益递减规律; 边际产量曲线与总产量曲线之间的关系;边际产量曲线与平均产量曲线之 间的关系。等产量曲线的特征及其经济含义;厂商利润最大化与生产要素 最优组合之间的关系。 机会成本;会计成本;显性成本;隐性成本;会计利润;经济利润; 6 短期总成本;不变成本;可变成本;平均成本;平均不变成本;平均可变 成本;边际成本;短期总成本、不变成本和可变成本之间的关系;平均成 本与平均不变成本和平均可变成本之间的关系;边际成本曲线与总成本曲 线和可变成本曲线之间的关系;边际成本曲线与平均成本曲线和平均可变 成本曲线之间的关系;长期总成本;长期平均成本;长期边际成本;规模 经济;规模经济状况与长期平均成本曲线的形状之间的关系;总收益;平 均收益;边际收益;厂商利润最大化原则。 第四章 完全竞争市场 完全竞争市场结构基本特征;厂商均衡;完全竞争厂商的短期均衡条 件;停止营业点;完全竞争厂商的长期均衡条件;经济效率;完全竞争厂 商的平均收益曲线和边际收益曲线;完全竞争厂商关闭点的确定;完全竞 争厂商的短期供给曲线;完全竞争市场的短期供给曲线;完全竞争厂商的 长期均衡的调整过程。 第五章 不完全竞争市场 垄断市场的基本特征;行业中出现垄断的原因;垄断厂商的平均收益 和边际收益曲线及其相互关系;垄断厂商的短期和长期均衡;垄断市场与 完全竞争市场经济效率的比较分析。 垄断竞争市场的基本特征;产品差异;垄断竞争厂商的短期均衡条件; 垄断竞争厂商的长期均衡条件;垄断竞争厂商面临的需求曲线及平均收益 曲线和边际收益曲线;垄断竞争厂商的短期均衡。 垄断竞争厂商的长期调整及其长期均衡;垄断竞争市场与完全竞争市 场经济效率的比较分析。 寡头市场的基本特征;古诺模型。 第六章 生产要素市场和收入分配 引致需求;厂商使用生产要素的利润最大化原则;要素的边际产品价 值;完全竞争市场条件下厂商使用生产要素的利润最大化条件;完全竞争 条件下的要素需求曲线;完全竞争厂商对要素需求曲线向右下方倾斜的原 因。 劳动的供给曲线;均衡工资率;劳动供给曲线向后弯曲的原因;劳动 的市场需求曲线和市场供给曲线;利用无差异曲线分析推导劳动的供给曲 线;利用劳动的市场需求曲线和市场供给曲线说明均衡工资率的决定。 第七章 一般均衡论和效率 局部均衡分析;一般均衡分析;一般均衡价格;瓦尔拉斯定律;帕累 托最优状态;帕累托改进。 第八章 市场失灵与微观经济政策 垄断所造成的社会成本;政府管制价格的确定;自然垄断行业的价格 和数量管制;对垄断采取的经济政策。 公共物品;非排他性;非竞争性;“搭便车”问题。外部性;私人成 本;社会成本;科斯定理。 7",SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":""9-11"",""row_key"":""互联网金融|微观经济学"",""section"":""微观经济学""}"
SYLL-1ebc1f30-7cf4-553d-9c92-10ea438cb4de,PY-b6e23825-5ec0-5a03-a13e-66e5625a377d,SUBJ-7c29394f-52b0-5931-b0b3-625d7861212e,《微观经济学》考试大纲,"《微观经济学》 绪论 考核要点:资源的稀缺性;西方经济学的研究对象;经济社会的三个 基本问题;自由放任的市场经济制度;中央集权的计划经济制度;混合经 济制度;微观经济学与宏观经济学之间的关系。 第一章 需求、供给和均衡价格 考核要点:需求;需求曲线;需求函数;需求规律;需求量变动与需 求变动;供给;供给曲线;供给函数;供给规律;供给量变动与供给变动 市场均衡;均衡价格;均衡数量;供求规律。 需求价格弹性;需求的收入弹性;需求的交叉弹性;供给的价格弹性; 根据需求价格弹性系数的大小对商品进行分类;需求的收入弹性系数与低 档品以及正常品中的奢侈品和非奢侈品之间的关系;交叉弹性系数与两种 商品的替代和互补关系;影响供给价格弹性的因素;支持价格;限制价格。 第二章 消费者选择 考核要点:总效用;边际效用;消费者均衡;总效用与边际效用之间 的关系;边际效用递减规律;消费者均衡条件;利用基数效用论推导消费 者对商品的需求曲线,并说明需求规律。 商品的边际替代率;商品的边际替代率递减规律;无差异曲线的特征 及其图形表示。 预算约束线的图形表示;预算约束线变动的原因与结果;消费者均衡 的含义和条件;运用无差异曲线分析方法说明消费者均衡;消费者需求曲 线向右下方倾斜的原因。 第三章 企业的生产和成本 考核要点:厂商的目标;厂商的利润、收益和成本之间的关系;短期、 长期、固定比例的生产函数;总产量;平均产量;边际产量;边际收益递 减规律;边际产量曲线与总产量曲线之间的关系;边际产量曲线与平均产 量曲线之间的关系。等产量曲线的特征及其经济含义;厂商利润最大化与 生产要素最优组合之间的关系。 机会成本;会计成本;显性成本;隐性成本;会计利润;经济利润; 6 短期总成本;不变成本;可变成本;平均成本;平均不变成本;平均可变 成本;边际成本;短期总成本、不变成本和可变成本之间的关系;平均成 本与平均不变成本和平均可变成本之间的关系;边际成本曲线与总成本曲 线和可变成本曲线之间的关系;边际成本曲线与平均成本曲线和平均可变 成本曲线之间的关系;长期总成本;长期平均成本;长期边际成本;规模 经济;规模经济状况与长期平均成本曲线的形状之间的关系;总收益;平 均收益;边际收益;厂商利润最大化原则。 第四章 完全竞争市场 考核要点:完全竞争市场结构基本特征;厂商均衡;完全竞争厂商的 短期均衡条件;停止营业点;完全竞争厂商的长期均衡条件;经济效率; 完全竞争厂商的平均收益曲线和边际收益曲线;完全竞争厂商关闭点的确 定;完全竞争厂商的短期供给曲线;完全竞争市场的短期供给曲线;完全 竞争厂商的长期均衡的调整过程。 第五章 不完全竞争市场 考核要点:垄断市场的基本特征;行业中出现垄断的原因;垄断厂商 的平均收益和边际收益曲线及其相互关系;垄断厂商的短期和长期均衡; 垄断市场与完全竞争市场经济效率的比较分析。 垄断竞争市场的基本特征;产品差异;垄断竞争厂商的短期均衡条件; 垄断竞争厂商的长期均衡条件;垄断竞争厂商面临的需求曲线及平均收益 曲线和边际收益曲线;垄断竞争厂商的短期均衡。 垄断竞争厂商的长期调整及其长期均衡;垄断竞争市场与完全竞争市 场经济效益的比较分析。 寡头市场的基本特征;古诺模型。 7",SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":""9-11"",""row_key"":""互联网金融|微观经济学"",""section"":""微观经济学""}"
SYLL-09132358-e306-54ba-b22e-6b577577e1a5,PY-b8d32ee2-1f35-5e7c-9e2d-8f37ad59d33b,SUBJ-be5405f8-d905-514f-8b29-cc10f36c78ef,《会计学原理》考试大纲,"《会计学原理》 第一章总论 会计的职能、会计的规范;会计的基本假设;衡量会计信息质量的一 般原则;确认和计量的一般原则;会计对象的内容;会计要素;会计等式。 第二章 会计科目、账户、复式记账法 会计科目的概念、分类;会计科目的名称;会计账户的概念、基本结 构和内容;总分类账和明细分类账的登记方法;复式记账法的原理、方法; 借贷记账法的含义、理论依据、账户结构、记账规则、账户的对应关系和 会计分录的编制。 第三章 借贷记账法的运用 资金筹集业务的核算;采购业务的核算;生产过程业务的核算;销售 过程和利润分配的核算。 第四章 会计凭证 会计凭证的概念;原始凭证概念、分类、内容、填制和审核方法;记 9 账凭证的概念、分类、内容、填制和审核方法;会计凭证的传递、保管要 求。 第五章 会计账簿 会计账簿的种类;日记账的设置和登记;分类账的设置和登记;账簿 的启用规则;记账规则;更正错账方法;对账、结账的方法。 第六章 账务处理程序 记账凭证账务处理程序的基本步骤和使用范围;汇总记账凭证账务处 理程序的基本步骤和使用范围;科目汇总表账务处理程序的基本步骤和使 用范围;日记总账账务处理程序的基本步骤和使用范围。 第七章 财产清查 财产清查的概念、方法;财产物资盘盈或盘亏、无法收回的应收款项、 无法归还的应付款项等财产清查结果的账务处理。 第八章 财务报告 财务报告的含义、作用和分类、编制要求。资产负债表的格式和内容; 利润表的结构和内容;现金流量表的结构和内容。 【参考书目】 1.《西方经济学》(马工程),上册,高等教育出版社,2019 年版。 2.《基础会计》,张凤明、唐淑文编著,立信会计出版社,2017 年 第 1 版。 10",SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":""12-13"",""row_key"":""互联网金融|会计学原理"",""section"":""会计学原理""}"
SYLL-94cac158-5023-59e9-a22c-477338afe8c0,PY-8d4db694-460f-585a-afa0-c07735ec3f07,SUBJ-be5405f8-d905-514f-8b29-cc10f36c78ef,《会计学原理》考试大纲,"《会计学原理》 第一章 总论 会计的职能、会计的规范;会计的基本假设;衡量会计信息质量的一 般原则;确认和计量的一般原则;会计对象的内容;会计要素;会计等式。 第二章 会计科目、账户、复式记账法 会计科目的概念、分类;会计科目的名称;会计账户的概念、基本结 构和内容;总分类账和明细分类账的登记方法;复式记账法的原理、方法; 借贷记账法的含义、理论依据、账户结构、记账规则、账户的对应关系和 会计分录的编制。 第三章 借贷记账法的运用 资金筹集业务的核算;采购业务的核算;生产过程业务的核算;销售 过程和利润分配的核算。 第四章 会计凭证 会计凭证的概念;原始凭证概念、分类、内容、填制和审核方法;记 账凭证的概念、分类、内容、填制和审核方法;会计凭证的传递、保管要 求。 第五章 会计账簿 会计账簿的种类;日记账的设置和登记;分类账的设置和登记;账簿 的启用规则;记账规则;更正错账方法;对账、结账的方法。 第六章 账务处理程序 记账凭证账务处理程序的基本步骤和使用范围;汇总记账凭证账务处 理程序的基本步骤和使用范围;科目汇总表账务处理程序的基本步骤和使 用范围; 日记总账账务处理程序的基本步骤和使用范围。 第七章 财产清查 财产清查的概念、方法;财产物资盘盈或盘亏、无法收回的应收款项、 无法归还的应付款项等财产清查结果的账务处理。 第八章 财务报告 财务报告的含义、作用和分类、编制要求。资产负债表的格式和内容; 利润表的结构和内容;现金流量表的结构和内容。 【参考书目】 1.《西方经济学》(马工程),上册,高等教育出版社,2019年版。 2.《基础会计》,张凤明、唐淑文编著,立信会计出版社,2017年第 1版。 8",SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":11,""row_key"":""互联网金融|会计学原理"",""section"":""会计学原理""}"
SYLL-ba865316-bbb9-5afd-b4a0-1ceed2c8818e,PY-b6e23825-5ec0-5a03-a13e-66e5625a377d,SUBJ-be5405f8-d905-514f-8b29-cc10f36c78ef,《会计学原理》考试大纲,"《会计学原理》 第一章 总论 考核要点:会计的职能、会计的规范;会计的基本假设;衡量会计信 息质量的一般原则;确认和计量的一般原则;会计对象的内容;会计要素; 会计等式。 第二章 会计科目、账户、复式记账法 考核要点:会计科目的概念、分类;会计科目的名称;会计账户的概 念、基本结构和内容;总分类账和明细分类账的登记方法;复式记账法的 原理、方法; 借贷记账法的含义、理论依据、账户结构、记账规则、账 户的对应关系和会计分录的编制。 第三章 借贷记账法的运用 考核要点:资金筹集业务的核算;采购业务的核算;生产过程业务的 核算;销售过程和利润分配的核算。 第四章 会计凭证 考核要点:会计凭证的概念;原始凭证概念、分类、内容、填制和审 核方法;记账凭证的概念、分类、内容、填制和审核方法;会计凭证的传 递、保管要求。 第五章 会计账簿 考核要点:会计账簿的种类;日记账的设置和登记;分类账的设置和 登记;账簿的启用规则;记账规则;更正错账方法;对账、结账的方法。 第六章 账务处理程序 考核要点:记账凭证账务处理程序的基本步骤和使用范围;汇总记账 凭证账务处理程序的基本步骤和使用范围;科目汇总表账务处理程序的基 本步骤和使用范围;日记总账账务处理程序的基本步骤和使用范围。 第七章 财产清查 考核要点:财产清查的概念、方法;财产物资盘盈或盘亏、无法收回 的应收款项、无法归还的应付款项等财产清查结果的账务处理。 第八章 财务报告 考核要点:财务报告的含义、作用和分类、编制要求。资产负债表的 格式和内容;利润表的结构和内容;现金流量表的结构和内容。 【参考书目】 1.《西方经济学》(马工程),上册,高等教育出版社,2019年版。 2.《基础会计》,张凤明、唐淑文编著,立信会计出版社,2017年第 一版。 8",SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":11,""row_key"":""互联网金融|会计学原理"",""section"":""会计学原理""}"
SYLL-1945e83f-d844-5916-a516-1b88f504c78f,PY-d3e1e604-5dfe-5940-9aac-c7ed5481a96b,SUBJ-225d4839-edc0-58f4-a894-f24182a6ca56,《管理学原理》考试大纲,《管理学原理》 第一章 初识管理学 考核要点:管理的内涵、管理者、管理学、管理道德和社会责任。 第二章 管理理论的演进 考核要点:管理学发展史概论、早期管理思想及管理理论萌芽、古典 管理理论、行为科学理论、管理理论丛林、当代管理理论。 第三章 预测与决策 考核要点:预测的含义及步骤、预测的种类和方法、决策的类型、特 征、程序与方法。 第四章 计划 考核要点:计划的概念与分类、计划的编制程序与方法、目标管理。 第五章 组织工作 考核要点:组织概述、部门划分、组织结构的类型、团队和委员会管 理、组织职权的划分、集权与分权。 第六章 领导 考核要点:领导理论、团队、领导和领导工作、领导方法和领导艺术。 第七章 沟通 考核要点:沟通的含义与沟通过程、沟通的类型、有效的沟通。 第八章 激励 考核要点:对人性的认识、激励概述。 第九章 控制工作 考核要点:控制工作概述、控制工作的原理与类型、控制方法与技术。 4,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":""7-8"",""row_key"":""人力资源管理|管理学原理"",""section"":""管理学原理""}"
SYLL-3aeb6355-9b40-5680-90be-7a3d0cd3b7dd,PY-955dc40b-8141-5590-86cf-1af86a0004ff,SUBJ-225d4839-edc0-58f4-a894-f24182a6ca56,《管理学原理》考试大纲,《管理学原理》 第一章 初识管理学 考核要点:管理的内涵、管理者、管理学、管理道德和社会责任。 第二章 管理理论的演进 考核要点:管理学发展史概论、早期管理思想及管理理论萌芽、古典 管理理论、行为科学理论、管理理论丛林、当代管理理论。 第三章 预测与决策 考核要点:预测的含义及步骤、预测的种类和方法、决策的类型、特 征、程序与方法。 第四章 计划 考核要点:计划的概念与分类、计划的编制程序与方法、目标管理。 第五章 组织工作 考核要点:组织概述、部门划分、组织结构的类型、团队和委员会管 理、组织职权的划分、集权与分权。 第六章 领导 考核要点:领导理论、团队、领导和领导工作、领导方法和领导艺术。 第七章 沟通 考核要点:沟通的含义与沟通过程、沟通的类型、有效的沟通。 第八章 激励 考核要点:对人性的认识、激励概述。 第九章 控制工作 考核要点:控制工作概述、控制工作的原理与类型、控制方法与技术。 4,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":""7-8"",""row_key"":""人力资源管理|管理学原理"",""section"":""管理学原理""}"
SYLL-028647b0-e784-52f7-a8db-8435e6739864,PY-a30adc34-ff19-5174-9c16-8a24ba99e9d0,SUBJ-225d4839-edc0-58f4-a894-f24182a6ca56,《管理学原理》考试大纲,《管理学原理》 第一章 初识管理学 考核要点:管理的内涵、管理者、管理学、管理道德和社会责任。 第二章 管理理论的演进 考核要点:管理学发展史概论、早期管理思想及管理理论萌芽、古典 管理理论、行为科学理论、管理理论丛林、当代管理理论。 第三章 预测与决策 考核要点:预测的含义及步骤、预测的种类和方法、决策的类型、特 征、程序与方法。 第四章 计划 考核要点:计划的概念与分类、计划的编制程序与方法、目标管理。 第五章 组织工作 考核要点:组织概述、部门划分、组织结构的类型、团队和委员会管 理、组织职权的划分、集权与分权。 第六章 领导 考核要点:领导理论、团队、领导和领导工作、领导方法和领导艺术。 第七章 沟通 考核要点:沟通的含义与沟通过程、沟通的类型、有效的沟通。 第八章 激励 考核要点:对人性的认识、激励概述。 第九章 控制工作 考核要点:控制工作概述、控制工作的原理与类型、控制方法与技术。 4,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":""7-8"",""row_key"":""人力资源管理|管理学原理"",""section"":""管理学原理""}"
SYLL-a5e442b3-669e-5e47-927e-79be277b6782,PY-d3e1e604-5dfe-5940-9aac-c7ed5481a96b,SUBJ-be5405f8-d905-514f-8b29-cc10f36c78ef,《会计学原理》考试大纲,"《会计学原理》 第一章总论 会计的职能、会计的规范;会计的基本假设;衡量会计信息质量的一 般原则;确认和计量的一般原则;会计对象的内容;会计要素;会计等式。 第二章 会计科目、账户、复式记账法 会计科目的概念、分类;会计科目的名称;会计账户的概念、基本结 构和内容;总分类账和明细分类账的登记方法;复式记账法的原理、方法; 借贷记账法的含义、理论依据、账户结构、记账规则、账户的对应关系和 会计分录的编制。 第三章 借贷记账法的运用 资金筹集业务的核算;采购业务的核算;生产过程业务的核算;销售 过程和利润分配的核算。 第四章 会计凭证 会计凭证的概念;原始凭证概念、分类、内容、填制和审核方法;记 账凭证的概念、分类、内容、填制和审核方法;会计凭证的传递、保管要 求。 第五章 会计账簿 会计账簿的种类;日记账的设置和登记;分类账的设置和登记;账簿 的启用规则;记账规则;更正错账方法;对账、结账的方法。 第六章 账务处理程序 记账凭证账务处理程序的基本步骤和使用范围;汇总记账凭证账务处 理程序的基本步骤和使用范围;科目汇总表账务处理程序的基本步骤和使 用范围;日记总账账务处理程序的基本步骤和使用范围。 第七章 财产清查 财产清查的概念、方法;财产物资盘盈或盘亏、无法收回的应收款项、 无法归还的应付款项等财产清查结果的账务处理。 5 第八章 财务报告 财务报告的含义、作用和分类、编制要求。资产负债表的格式和内容; 利润表的结构和内容;现金流量表的结构和内容。 【参考书目】 1.王光健,胡友宇,石媚山.管理学原理,中国人民大学出版社,2018 年,第二版。 2.《基础会计》,张凤明、唐淑文编著,立信会计出版社,2017 年 第 1 版。 6",SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":""8-9"",""row_key"":""人力资源管理|会计学原理"",""section"":""会计学原理""}"
